STREET_NAME,count
father capodanno blvd,2
center pl,2
50043rd st,2
continental ave,2
16488th st,2
genesee ave,2
1754th st,2
kelly blvd,2
bay 13th st,2
93rd st apt,2
newel st,2
265131st st,2
royce st,2
correll ave,2
5565th st,2
knolls crescent,2
arthur ave,2
27th st,2
colonial rd,2
st nicholas ave,2
1475th st,2
231-23555th st ,2
43-33 48th st,2
central park w,2
ward ave,2
58th st,2
jones st,2
mosholu ave,2
oceana,2
82-25 queens blvd,2
topping ave,2
13235th st,2
throgs neck blvd,2
bolton st,2
58- 251st st,2
20036th st,2
30163rd st,2
5th ave fl,2
42524th st,2
sheldon ave,2
56th st,2
maine ave,2
fteley ave,2
nassau ave,2
emmons ave,2
123-35 82nd rd,2
joralemon st,2
frederick douglass blvd,2
pitkin ave,2
avenue d,2
hudson st,2
prospect park w,2
beaumont st,2
 old fulton st,2
38989th st,2
ashford st,2
todt hill rd,2
51-42 30th ave.,2
valentine ave,2
635170th st,2
37-50 87th st,2
21st ave,2
waring ave,2
73rd st apt,2
bay 10th st,2
31441st st apt,2
52942nd st,2
faile st,2
cedarcliff rd,2
st marks pl,2
lafayette st,2
lenox ave,2
crescent st.,2
sutton pl s,2
17404th st,2
15051st st apt,1
501136th st,1
25257th st,1
527d156th st,1
100121st st,1
swinnerton st,1
51080th st apartment,1
henry hudson pkwy w,1
99-72 66th rd,1
1622nd st,1
21617th st,1
 139th st,1
99-40 63rd rd,1
albany st,1
123510th st,1
54129th st,1
21720th st,1
21323rd st,1
2885195th st,1
macdougal st,1
180-14 69th ave,1
20510th st,1
42120th st,1
98-34 63rd dr,1
5371st st,1
97th pl,1
4th pl,1
84-25 118th st,1
77-32 vleigh pl,1
post rd,1
512156th st,1
107572nd st,1
200-03 34th ave,1
bay club dr apartment,1
39-15 212th st,1
20-08 150th st,1
12969th st,1
brooklyn ave apt,1
89537th st,1
22065th st,1
n 3rd st apt,1
245513th st,1
knickerbocker ave,1
76237th st,1
barclay ave apt,1
669th st,1
116-40 148th st,1
53126th st,1
804180th st apt,1
32257th st,1
50112th st,1
371120th st,1
104-33 39th ave,1
115- inwood st,1
40189th st apt,1
60557th st,1
212026th st,1
kathy pl,1
40-11 102nd st,1
81-36 267th st,1
230766th st,1
43-17 20th rd,1
rombouts ave,1
sherman st,1
91-31 113th st,1
ramapo ave,1
21284th st,1
denker pl,1
5-42 115th st,1
goller pl,1
116-34 146th st,1
charlton st,1
aviston st,1
frederick douglass blvd c,1
montague st,1
57528th st,1
43-15 54th st,1
118-17 union tpke,1
rockaway ave,1
35-15 84th st,1
68-09 booth st,1
69-33 165th st,1
wetherole st apt,1
109th st apt,1
1168th st,1
30157th st,1
neal dow ave,1
venus ln,1
73-09 21st ave,1
14063rd st,1
45-53 169th st,1
market st,1
20357th st,1
776a brook ave,1
121136th st,1
winant pl,1
troutman st,1
35631st st,1
227-10 88th ave,1
69-08 myrtle ave,1
61-44 77th st,1
101-11 remington st,1
33-26 92nd st,1
185512th st,1
84-40 153rd ave,1
30152nd st,1
abbey ct,1
24929th st,1
50083rd st,1
dikeman st,1
12380th st,1
435117th st apt,1
bay 16th st,1
richmond ave,1
67-71 yellowstone blvd,1
70th st,1
80-06 47th ave,1
18-55 corporal kennedy st,1
mulford ave,1
16252nd st,1
ambassador ln,1
32-58 77th st,1
washington park,1
158-16 79th ave,1
57-34 159th st,1
183-05 145th dr,1
park hill cir,1
35-54 95th st,1
127270th st,1
sackett st apt,1
85-26 edgerton blvd,1
31456th st,1
33518th st,1
504111th st apt,1
205-23 113th ave,1
west st apt,1
54049th st ph,1
24771st st,1
hewitt ave,1
4062nd st,1
mcguinness blvd,1
99-11 60th ave,1
367201st st,1
118-82 metropolitan ave,1
onderdonk ave,1
133140th st,1
 2810th st,1
15953rd st,1
4580th st,1
28535th st,1
leonard ave,1
89-22 155th ave,1
35-11 85th st,1
satterlee st,1
89-02 171st st,1
14231st st,1
42-31 colden st,1
grafton st,1
morris ave,1
darnell ln,1
25082nd st,1
lincoln rd,1
fillmore st,1
176th st,1
bogota st,1
beaver st,1
sanford ave ,1
125-15 defoe st,1
41-38 66th st,1
30085th st apt,1
736186th st,1
5997th st,1
110-36 199th st,1
2773rd st,1
1481st st,1
dahill rd,1
11614th st fl,1
22411th st apt,1
58-36 79th st,1
45017th st apt,1
503182nd st,1
669237th st,1
22889th st,1
center blvd,1
port richmond ave,1
beverley rd,1
hegeman ave,1
31-36 48th st,1
42658th st ph,1
126-15 103rd ave,1
victor st,1
120-15 145th st,1
20798th st,1
van nostrand ct,1
baltic st,1
13-56 bell blvd,1
42-11 astoria blvd n,1
117-23 142nd st,1
oxford st,1
remsen st apt,1
mayfair dr n,1
855223rd st,1
99-25 60th ave,1
mackenzie st,1
 21596th st,1
32-86 33rd st,1
51572nd st,1
87-66 257th st,1
shore dr,1
teri ct,1
manor ave,1
myrtle ave,1
234138th st,1
73-27 193rd st,1
dewey ave,1
147-20 76th rd,1
141-9 28th ave,1
warren st b,1
hicks st,1
43-64 bowne st,1
32441st st,1
quentin rd,1
170-174 mermaid ln,1
3511th st,1
73- 220th st,1
20-61 49th st,1
34-10 94th st,1
83-85 woodhaven blvd,1
21-78 35th st,1
33-04 93rd st apt,1
6196th st,1
115-04 144th st,1
russell st,1
,1
clifton pl,1
gordon st,1
albemarle rd,1
crescent st apt,1
nautilus st,1
46-03 104th st,1
40-26 college point blvd,1
broadway ph,1
64th ave apt,1
260-46 73rd ave,1
149-37 9th ave,1
108-50 62nd dr,1
13038th st,1
110-19 saultell ave,1
59th ave,1
136th st,1
99-27 francis lewis blvd,1
42-39 248th st,1
13777th st,1
34556th st,1
29255th st,1
171718th st,1
217122nd st,1
greencroft ln,1
191426th st,1
midland ave,1
158-34 75th ave,1
15037th st,1
180-11 tudor rd,1
saunders st,1
92-30 56th ave,1
pennsylvania ave,1
113986th st,1
140-31 cherry ave,1
walker st,1
3173rd st,1
26127th st,1
1764th st,1
110-39 62nd dr,1
213-02 42nd ave,1
110-35 166th st,1
84-49 264th st,1
beach 125th st,1
n pine terrace,1
beach 60th st,1
183-07 145th dr,1
138-48 229th st,1
149528th st,1
34374th st,1
2379th st c,1
huntington st,1
25075th st,1
222-11 100th dr,1
98-20 62nd dr,1
4496th st,1
21-26 81st st,1
92184th st,1
nixon ave,1
104-40 alstyne ave,1
5131st st,1
21-68 35th st,1
hunter ave,1
31-32 100th st,1
park ave s apartment,1
gower st,1
harding ave,1
32057th st,1
edgecombe ave,1
43182nd st,1
21944th st,1
65-15 alderton st,1
32190th st,1
lawton ave,1
713239th st,1
brighton 14th st,1
7013a park dr e,1
clifton ave,1
85-11 164th ave,1
204467th st,1
weirfield st,1
12970th st,1
2963rd st,1
2483rd st,1
2982nd st apartment,1
7045th st ph,1
31-53 45th st,1
69th ave apt,1
41-59 70th st,1
bennett ave ,1
lovell ave,1
brightwater ct,1
1776th st,1
78-27 268th st,1
232118th st,1
autumn ave,1
71-31 66th rd,1
powers st,1
37-30 73rd st,1
23-16 36th st,1
85-65 159th st,1
128138th st,1
26-25 141st st,1
261-36 langston ave,1
41-18 27th st,1
106052nd st,1
vanderbilt st,1
7755th st,1
stuyvesant ave,1
ditmas ave apt,1
171429th st,1
5266th st,1
35042nd st,1
maple terrace,1
149-47 115th st,1
58-48 150th st,1
bay 50th st,1
willow st,1
85737th st,1
 600111th st,1
647th st,1
127551st st,1
144-11 sanford ave,1
park dr e,1
32353rd st,1
waverly ave,1
bay 19th st,1
62-96 woodhaven blvd,1
1281223rd st,1
howton ave,1
royce pl,1
144-44 41st ave,1
fresh pond rd,1
138-28 68th dr,1
124987th st,1
bragg st,1
duncan st,1
23-45 bell blvd,1
alton pl,1
10167th st ph,1
154-12 65th ave,1
144-85 roosevelt ave,1
oakville st,1
center dr,1
29-11 butler st,1
45th st apt,1
93-04 177th st,1
118-10 202nd st,1
locust ct,1
51st st,1
135-16 221st st,1
52984th st,1
45-01 utopia pkwy,1
calhoun ave,1
edinboro rd,1
davenport ct,1
19-36 75th st,1
41024th st,1
130-35 145th st,1
151-31 88th st,1
12-11 jackson ave,1
163-36 98th st,1
622114th st,1
32722nd st,1
garfield pl,1
peacock loop,1
32896th st,1
wright st,1
miller ave,1
83-52 talbot st,1
333119th st,1
junction blvd,1
2367th st,1
13391st st,1
n henry st fl,1
39-82 65th pl,1
21-41 34th ave,1
205th st ,1
71-60 163rd st,1
daleham st,1
brighton 1st st,1
keen ct,1
235-18 147th rd,1
1192nd st apt,1
9-22 119th st,1
137-39 75th rd,1
3276th st apt,1
51748th st apartment,1
209118th st,1
ketcham st,1
research ave,1
549149th st,1
50-02 60th st,1
112-20 210th st,1
35-12 213th st,1
143-40 poplar ave,1
147-21 14th ave,1
conklin ave,1
172013th st,1
35-40 82nd st,1
1848th st,1
58-13 waldron st,1
541st st,1
union tpke,1
11136th st,1
83-75 118th st,1
145-37 115th ave,1
n 9th st,1
11413th st,1
1181st st,1
183-12 elmira ave,1
12819th st,1
45851st st,1
15778th st,1
46557th st,1
67-27 181st st,1
194-11 112th ave,1
somers st ,1
